Proveitos Globais | NUTS II;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;;Acumulado;
;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018
Algarve;16 615 849;17 541 666;24 423 171;25 305 809;38 706 231;45 390 051;71 526 104;68 930 727;88 647 186;94 469 939;123 032 261;130 765 876;181 040 371;187 437 638;220 021 946;227 146 874;138 500 743;;84 724 421;;25 798 552;;19 415 639;;1 032 452 474;796 988 580
Hotéis;8 904 421;9 093 731;13 778 023;14 285 551;22 659 838;27 059 173;42 594 501;41 085 453;53 206 867;56 719 004;71 301 727;77 084 721;99 272 789;105 082 616;121 489 470;125 901 478;81 761 216;;51 088 720;;14 649 197;;10 176 962;;590 883 731;456 311 727
5*;4 749 321;4 677 338;7 662 180;6 399 541;11 363 111;12 468 880;18 585 743;18 317 850;23 793 899;25 641 742;31 130 223;34 202 946;44 506 127;45 378 483;53 513 418;56 042 940;35 798 305;;22 307 471;;6 749 160;;4 300 394;;264 459 352;203 129 720
4*;2 837 205;3 064 874;4 650 042;5 587 300;8 984 196;10 979 901;18 294 943;17 233 866;22 666 225;23 866 309;31 020 254;32 325 998;41 873 456;46 679 077;51 934 305;55 520 383;35 290 629;;22 044 367;;6 243 290;;4 355 218;;250 194 130;195 257 708
3*;1 082 672;1 078 870;1 218 612;2 003 055;1 925 031;3 172 627;5 055 414;4 837 201;5 848 514;6 236 250;7 909 705;9 279 347;10 999 584;11 154 341;13 682 213;11 835 310;9 073 178;;5 896 108;;1 239 899;;1 214 120;;65 145 050;49 597 001
2* e 1*;235 223;272 649;247 189;295 655;387 500;437 765;658 401;696 536;898 229;974 703;1 241 545;1 276 430;1 893 622;1 870 715;2 359 534;2 502 845;1 599 104;;840 774;;416 848;;307 230;;11 085 199;8 327 298
Hotéis-Apartamentos;3 010 356;3 146 598;4 609 179;4 909 990;7 615 076;8 439 264;13 042 509;12 543 791;15 735 082;16 943 557;23 442 721;23 902 588;35 011 809;34 655 600;41 767 968;43 083 651;25 443 216;;14 551 391;;4 931 187;;3 811 497;;192 971 991;147 625 039
Pousadas;200 652;186 050;245 799;234 522;347 194;356 529;509 829;426 404;576 515;598 420;718 206;715 594;833 893;853 567;1 012 031;988 797;849 743;;613 735;;243 071;;259 547;;6 410 215;4 359 883
Aldeamentos Turísticos;2 389 863;2 614 812;2 919 807;2 868 722;4 074 813;4 564 056;7 133 106;7 307 117;9 123 863;9 826 527;11 462 330;12 144 205;19 673 128;19 578 246;23 726 042;23 375 607;12 726 618;;9 036 468;;2 636 679;;2 529 486;;107 432 203;82 279 292
Apartamentos Turísticos;2 044 231;2 349 187;2 741 892;2 848 652;3 787 313;4 696 711;7 798 323;7 207 941;9 431 235;9 877 808;15 287 253;16 207 632;25 068 263;26 238 717;30 496 582;32 581 144;16 692 856;;8 872 223;;3 127 676;;2 476 279;;127 824 126;102 007 792
Outros;66 326;151 288;128 471;158 372;221 997;274 318;447 836;360 021;573 624;504 623;820 024;711 136;1 180 489;1 028 892;1 529 853;1 216 197;1 027 094;;561 884;;210 742;;161 868;;6930208;4404847
Açores;2 436 657;2 930 497;2 932 155;3 178 267;4 298 294;4 914 444;6 633 237;6 947 207;8 584 595;9 193 030;10 476 615;11 572 834;13 404 186;14 477 003;13 955 733;14 965 204;10 924 215;;7 143 080;;3 507 749;;3 325 761;;87 622 277;68 178 486
Hotéis;2 196 767;2 675 744;2 672 725;2 925 615;3 885 617;4 509 058;5 987 946;6 370 894;7 833 634;8 349 447;9 405 046;10 413 239;11 903 813;12 786 214;12 405 456;13 322 858;9 843 680;;6 522 118;;3 240 397;;3 061 741;;78 958 940;61 353 069
5*;209 743;364 870;279 245;424 648;396 148;639 393;782 485;857 444;906 189;1 044 681;1 173 753;1 332 679;1 372 911;1 636 523;1 546 887;1 751 217;1 119 976;;827 496;;398 978;;413 289;;9 427 100;8 051 455
4*;1 488 339;1 768 389;1 860 634;1 998 812;2 759 549;3 190 231;4 174 379;4 417 376;5 562 205;5 913 985;6 572 409;7 272 798;8 479 438;9 005 238;8 650 696;9 362 364;6 821 283;;4 672 542;;2 265 255;;2 191 228;;55 497 957;42 929 193
3*;347 730;374 765;380 918;342 417;532 955;452 903;752 070;803 829;1 029 578;1 007 108;1 229 479;1 370 621;1 520 740;1 535 740;1 620 610;1 594 453;1 451 864;;725 331;;391 601;;305 773;;10 288 649;7 481 836
2* e 1*;150 955;167 720;151 928;159 738;196 965;226 531;279 012;292 245;335 662;383 673;429 405;437 141;530 724;608 713;587 263;614 824;450 557;;296 749;;184 563;;151 451;;3 745 234;2 890 585
Hotéis-Apartamentos;75 628;98 073;82 193;98 296;138 359;151 675;183 840;189 573;219 602;226 577;282 174;291 596;402 962;404 596;398 962;425 538;297 443;;188 260;;103 257;;80 767;;2 453 447;1 885 924
Pousadas;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;;…;;…;;…;…;…;…
Aldeamentos Turísticos;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;;_;;_;;_;_;_;_
